,time,Int_WZ
318.0,318.0,13.083105308419983
324.0,324.0,13.190431446245402
325.0,325.0,13.205430081691494
326.0,326.0,13.104347135023446
327.0,327.0,13.225623198236391
333.0,333.0,13.14053289318557
334.0,334.0,13.152915117474885
335.0,335.0,13.151470814723547
336.0,336.0,13.254283426741393
342.0,342.0,13.301020831604284
343.0,343.0,13.26167345659668
344.0,344.0,13.314200611817745
345.0,345.0,13.29542074363992
347.0,347.0,13.297908172309876
348.0,348.0,13.304019488428745
349.0,349.0,13.244411090923453
350.0,350.0,13.294934497816596
350.0,350.0,13.277000744848134
351.0,351.0,13.183668748554243
352.0,352.0,13.283063712336117
353.0,353.0,13.21495107632094
359.0,359.0,13.304703638963929
360.0,360.0,13.294283580851241
361.0,361.0,13.335481738555613
368.0,368.0,13.246788847117797
368.0,368.0,13.212770879925964
369.0,369.0,13.252818943298971
370.0,370.0,13.229075936337006
377.0,377.0,13.253821907013394
377.0,377.0,13.225205816726938
378.0,378.0,13.250135985702073
379.0,379.0,13.190896204126634
386.0,386.0,13.215683205509471
386.0,386.0,13.274492707672794
387.0,387.0,13.235888993414864
388.0,388.0,13.226856395158654
395.0,395.0,13.245119841858163
395.0,395.0,13.205244578920825
396.0,396.0,13.257194813409235
397.0,397.0,13.312919896640825
399.0,399.0,13.22190989302725
400.0,400.0,13.331258816695712
400.0,400.0,13.268619178971278
401.0,401.0,13.258051398828886
402.0,402.0,13.223405897792187
404.0,404.0,13.280812494942136
404.0,404.0,13.274787092741619
405.0,405.0,13.341233354470516
412.0,412.0,13.325218080888186
413.0,413.0,13.319079962951527
413.0,413.0,13.348900038595135
414.0,414.0,13.3843010255224
421.0,421.0,13.447635135135135
422.0,422.0,13.398838186960175
422.0,422.0,13.410258468454005
429.0,429.0,13.491600216768598
430.0,430.0,13.556984266432394
431.0,431.0,13.508003169572108
432.0,432.0,13.50877899484536
438.0,438.0,13.559135620788474
439.0,439.0,13.579677569369089
440.0,440.0,13.582894329098234
441.0,441.0,13.595913092641952
447.0,447.0,13.658285806088847
448.0,448.0,13.68209481101858
449.0,449.0,13.653231305401926
450.0,450.0,13.641800747602794
455.0,455.0,13.693822808093195
456.0,456.0,13.633266047638273
457.0,457.0,13.73798474002989
458.0,458.0,13.585092667203867
464.0,464.0,13.612543225400815
465.0,465.0,13.60066620187466
466.0,466.0,13.644384348854894
472.0,472.0,13.533960689079453
473.0,473.0,13.637100509495134
474.0,474.0,13.59357678513205
480.0,480.0,13.589656503280587
481.0,481.0,13.615840681058073
482.0,482.0,13.633094645080948
483.0,483.0,13.565576968089257
489.0,489.0,13.547686641602088
490.0,490.0,13.630109267503036
491.0,491.0,13.650016567263089
492.0,492.0,13.539547581903276
494.0,494.0,13.7108414107681
495.0,495.0,13.696640481363866
496.0,496.0,13.614543993571715
496.0,496.0,13.665365091761029
497.0,497.0,13.60257113741475
498.0,498.0,13.62992065326246
499.0,499.0,13.626781063275626
500.0,500.0,13.689994532531438
506.0,506.0,13.786474796206956
507.0,507.0,13.737515375153752
508.0,508.0,13.824198731868325
515.0,515.0,13.75500350439997
515.0,515.0,13.833211352362365
516.0,516.0,13.826452658384135
517.0,517.0,13.80063492063492
523.0,523.0,13.855160885917261
524.0,524.0,13.884990403071015
525.0,525.0,13.834821769330585
526.0,526.0,13.883467367769873
532.0,532.0,13.906524613111438
533.0,533.0,14.068797890747302
534.0,534.0,13.982337620055347
541.0,541.0,14.056099732858415
542.0,542.0,14.024432096747837
542.0,542.0,14.069371829886851
543.0,543.0,14.034287896143566
550.0,550.0,14.134467138202336
551.0,551.0,14.144888231426695
557.0,557.0,14.067594269718425
558.0,558.0,14.095950260460427
559.0,559.0,14.055908912446014
560.0,560.0,14.123800227753375
566.0,566.0,14.076676316407163
567.0,567.0,14.087266037434013
568.0,568.0,14.012823538667295
574.0,574.0,14.068705882352939
575.0,575.0,14.08852719333069
576.0,576.0,13.988494285495126
577.0,577.0,14.06297171609362
583.0,583.0,14.044085410408378
584.0,584.0,14.033993015133875
585.0,585.0,14.065441358279074
586.0,586.0,14.064647865618738
592.0,592.0,14.003085955140751
593.0,593.0,14.061982179146476
594.0,594.0,14.035227272727273
595.0,595.0,13.99549157636637
601.0,601.0,14.022463883156053
602.0,602.0,14.009345794392527
603.0,603.0,13.985801694383431
604.0,604.0,14.00842924298914
607.0,607.0,13.980670611439846
608.0,608.0,14.015260536095516
609.0,609.0,14.143684168207765
610.0,610.0,14.118202387454165
611.0,611.0,14.02138654794085
612.0,612.0,14.094694659813573
618.0,618.0,14.213902398121753
619.0,619.0,14.204161791743275
620.0,620.0,14.14071930549814
626.0,626.0,14.24872854418309
627.0,627.0,14.277643575157795
628.0,628.0,14.28692879914984
629.0,629.0,14.219645627500613
635.0,635.0,14.242366119380085
636.0,636.0,14.270833333333336
637.0,637.0,14.348200869909055
638.0,638.0,14.257284562926225
644.0,644.0,14.437469387755106
645.0,645.0,14.414140572951364
646.0,646.0,14.290083257769352
647.0,647.0,14.30837076357697
653.0,653.0,14.454695351758795
654.0,654.0,14.428362347866276
655.0,655.0,14.464198286413708
656.0,656.0,14.45815964180948
662.0,662.0,14.56345571683614
663.0,663.0,14.58585777420651
664.0,664.0,14.526443082876492
665.0,665.0,14.467819631998735
671.0,671.0,14.566404405979545
672.0,672.0,14.694764143297133
673.0,673.0,14.601730214674784
674.0,674.0,14.684979025492096
680.0,680.0,14.627325208466964
681.0,681.0,14.612709734943664
682.0,682.0,14.637673384933713
683.0,683.0,14.599004212945232
689.0,689.0,14.749323854416197
690.0,690.0,14.672814260359594
691.0,691.0,14.826135369442456
697.0,697.0,14.88057711910923
698.0,698.0,14.76776320954699
699.0,699.0,14.899884067572046
700.0,700.0,14.83851805533844
706.0,706.0,14.974191931846654
707.0,707.0,14.921159190154825
713.0,713.0,14.93269831355403
714.0,714.0,14.83910814170292
715.0,715.0,14.810991748404172
716.0,716.0,14.912243453644725
722.0,722.0,14.839953810623555
723.0,723.0,14.808840818245946
724.0,724.0,14.85869982347072
731.0,731.0,14.885579041867294
731.0,731.0,14.826212889210716
732.0,732.0,14.911666530977776
739.0,739.0,14.79225736095965
740.0,740.0,14.792902582969266
741.0,741.0,14.748945315609332
747.0,747.0,14.769672267509565
748.0,748.0,14.774097331240187
749.0,749.0,14.85742157015764
750.0,750.0,14.801688744286931
756.0,756.0,14.822248427672957
757.0,757.0,14.886190845616758
758.0,758.0,14.804490994207725
764.0,764.0,14.777803866322298
765.0,765.0,14.80142424490464
766.0,766.0,14.824957097327776
767.0,767.0,14.692554607374932
773.0,773.0,14.73469715202567
774.0,774.0,14.767969936835373
775.0,775.0,14.777051129607608
776.0,776.0,14.791109393119445
782.0,782.0,14.85473375492622
783.0,783.0,14.788539553752534
784.0,784.0,14.789469394408671
785.0,785.0,14.91027397260274
791.0,791.0,14.82254628871047
792.0,792.0,14.785834031852472
793.0,793.0,14.756180155773787
