,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name,COM_x_WZ,COM_x_ZB,COM_x_TW,COM_y_WZ,COM_y_ZB,COM_y_TW,Monitor
25.0,0.000425,205.49726729291203,190.89820666097353,880.2651579846286,5.201332142178407,13.584272742668805,-2.8398818239093857,5.0256518867935345,17.744026567972163,45.549411656454595,27,37,13,38,40,36,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_0.tif,49.38757416244281,42.998261175314866,38.372454150479655,30.8798091567683,38.57947998987214,12.728648643929102,11710.0
26.0,0.000425,205.25572735367928,190.51606897110014,878.1951752610702,5.252716892451425,13.766256745285263,-2.8321380026483345,38.606962858959356,17.9734635575487,160.05037078605756,27,36,12,38,38,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_1.tif,49.39859019279644,43.02250785550544,38.38292135805047,30.889161372560466,38.60316174799071,12.729043001490089,12353.0
27.0,0.000425,205.06844741235392,190.36115748469672,877.9389458621512,5.206476763413784,12.954301271734504,-2.8364153858540724,87.31819857920001,17.668890150409613,234.34001457004342,27,38,12,38,38,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_2.tif,49.39781303449121,43.04534959134335,38.373516175984015,30.89601311233406,38.62015499343719,12.731696674108084,12579.0
28.0,0.000425,204.8379104019638,190.09757594354096,876.614759128567,5.28560192499188,13.152557345591571,-2.833020663094066,53.46008679683656,17.765537127696216,63.9909677468753,27,38,12,38,39,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_3.tif,49.42712919719264,43.02923838793404,38.43826577000319,30.906086544903562,38.61563763058328,12.730524828156517,13036.0
29.0,0.000425,205.51035110963895,190.79231533620404,878.5138290824776,5.232436017933889,13.328264988768337,-2.83815341997064,13.182414637481571,17.797607524248996,61.184541083418694,27,37,12,38,39,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_4.tif,49.4109736584328,43.043434745018246,38.41851107929516,30.88982340234263,38.61150265103246,12.728601735914442,12076.0
30.0,0.000425,205.2810351799434,190.504731095835,878.4735948241002,5.340776629978497,13.830442328418908,-2.8399203100436576,4.342916358842147,18.086919755859025,141.06352766080192,27,37,12,38,38,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_5.tif,49.40179332624197,43.02087161990345,38.411995368211194,30.894667690974273,38.60557244445237,12.729548349036845,12365.0
31.0,0.000424,204.96495420151334,190.54846674631622,878.3594583831143,5.3364838034929,13.376031594371659,-2.8445000552476416,3.69755648774315,17.877744905921762,139.69695290680042,29,37,12,39,38,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_6.tif,49.402837951529825,43.00942384347349,38.38309915402007,30.887334140327628,38.611599290400676,12.729852174544648,12555.0
31.0,0.000425,204.8980364873222,190.52342300556586,877.8394403215832,5.327950475640452,14.174310785022154,-2.842869594760265,58.081112606222234,17.928426244095572,6148.7014312615365,27,36,12,38,39,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_7.tif,49.410785490316954,43.00214841206178,38.3713331180529,30.897740138785714,38.59388357838215,12.73058449517693,12936.0
32.0,0.000421,204.64070038910506,190.51081712062256,877.2227237354085,5.253393734792048,13.246211026093059,-2.838296428051385,41.00564845396238,17.45162439299744,58.16482483935419,27,38,12,38,40,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_8.tif,49.39914923489324,43.00878204164597,38.36717676018904,30.90428170014599,38.6145349958171,12.728663294628467,12850.0
33.0,0.000422,204.65710086633663,190.48893873762376,877.6612778465346,5.577331974757744,13.56623509227131,-2.8373700070400525,90.84130425796458,17.981073032027076,58.84640847324118,26,37,12,36,39,38,./pilatus/InAs0799/InAs0799time2/InAs0799time2_1_9.tif,49.378173086699064,43.01104951960111,38.36442053672507,30.895690048442688,38.59926517913086,12.728359951896659,12928.0
