,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name
0.03333333333333333,0.000421,25.757328595655334,12.009206169748849,997.2837761447146,7.212133976620836,6.8167466237831205,7.099529080182399,5.672153297101356,8.764032080593852,-4.392306374293695,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_0.tif
0.05,0.000421,25.78712382831771,12.124486104259168,1001.1911692155895,7.134887935984199,6.706992534637786,7.103092688094885,4.911499071452356,8.020459832333827,-4.397485182280578,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_1.tif
0.06666666666666667,0.000422,25.865983674829252,12.127852740296518,1002.9209561885724,7.143355465908843,6.561590127530333,7.105927491058324,5.446393358648321,8.82797825599614,-4.392602965779325,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_2.tif
0.08333333333333333,0.000422,25.93997480201584,12.104841612670986,1005.8677105831533,7.114716409156638,6.787405548228932,7.154774654030642,5.265044098450586,8.642768754468312,-4.388728372930808,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_3.tif
0.1,0.000422,25.800857092880882,12.064981633723981,1003.0784502361379,7.112966970012343,6.657617904410953,7.115695127200899,5.404926172812192,8.603807211864154,-4.393946758082571,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_4.tif
0.11666666666666667,0.000423,25.661987041036717,12.020850639641136,999.24771556737,7.087137138368516,6.495251168976933,7.083801610437595,5.430427701317771,8.27799378045039,-4.4036371567439385,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_5.tif
0.13333333333333333,0.000422,25.6210517612039,12.032495452290393,998.7210186869522,7.0766791787529755,6.46736685253859,7.074303765939179,5.532702796530372,8.058155055042489,-4.3936884428557645,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_6.tif
0.15,0.000422,25.76157619087206,11.9821265275584,999.9789674952199,7.056094338729281,6.675141892546094,7.098264011219405,5.791832361517162,8.917081539039705,-4.397296983532039,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_7.tif
0.15,0.000422,25.74960498960499,12.04981288981289,1000.1234927234927,7.210424517596656,6.8603306805872615,7.125873448455943,5.35522653697303,8.472540972687158,-4.396479329069508,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_8.tif
0.16666666666666666,0.000422,25.8275977560077,12.098049066398728,999.878338775852,7.123829707293554,6.619677051666222,7.102391838876956,5.260871697149333,9.20732199686249,-4.401742654347606,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_9.tif
0.18333333333333332,0.000425,25.75511463844797,12.152116402116402,1002.6571428571428,7.103758973803587,6.768041872519544,7.14113506377057,4.927301600749243,7.9912885622158,-4.404233755738183,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_10.tif
0.2,0.000424,25.721130116585822,12.014892349587269,999.8478427367884,7.172969267606998,6.713053799931151,7.116364785435481,5.688071010491706,7.913052499542685,-4.399979552471175,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_11.tif
0.21666666666666667,0.000425,25.694458523399224,12.07070451089711,1000.6088866362561,7.054042328831076,6.707365142753015,7.121239267258289,5.638388664223941,9.361267170561613,-4.390424208190748,14,20,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_12.tif
0.23333333333333334,0.000425,25.73952761089622,12.090774421858283,1000.7890708583656,7.083788371648495,6.717104994373021,7.110996561669027,5.4163563062756195,8.571469894759202,-4.3974306710725495,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_13.tif
0.25,0.000423,25.673897028730458,12.059097978227062,999.7546860931488,7.0902724716758865,6.540771688628368,7.095175433429114,5.209049980317623,9.092102774642271,-4.396390352146981,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_14.tif
0.26666666666666666,0.000425,25.78880086424199,12.120813827871805,1004.2461289160965,7.189095418067999,6.631184372886573,7.123040848832627,5.098081432682174,8.160352365254559,-4.409771846550855,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_15.tif
0.2833333333333333,0.000422,25.740071260971582,12.11141044581559,1003.8255844268706,7.029299587854573,6.83112480013356,7.125960807923212,5.403755229800964,9.203409918539982,-4.398690289271305,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_16.tif
0.3,0.000423,25.57350032959789,12.128790375741595,1000.7778510217535,7.1812637847987215,6.717485859675438,7.111890717774871,5.423347012297579,8.676075306390008,-4.390789973226232,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_17.tif
0.31666666666666665,0.000421,25.666751441166497,12.127500847744999,1003.2862834859275,7.110227934512588,6.603758366982602,7.102745932686299,5.2409921062999185,9.005051158458517,-4.385068141151187,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_18.tif
0.31666666666666665,0.000421,25.630729122866033,12.039273400050458,1002.5061811454041,7.140726001802281,6.663674231866965,7.118347072582114,5.111196501576588,8.852506066317211,-4.389939152604282,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_19.tif
0.3333333333333333,0.000421,25.779012345679014,12.151940035273368,1003.8257495590829,7.210627933127306,6.732904845093325,7.147580422753524,5.171586632948406,8.08809276220336,-4.404810956213268,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_20.tif
0.35,0.000421,25.700435264999573,12.063924212682426,1001.085431424426,7.252160726752304,6.670307298718102,7.120518858708882,5.425032008409281,8.456337864646951,-4.392313095063841,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_21.tif
0.36666666666666664,0.000421,25.72668416447944,12.099212598425197,1001.0492563429572,7.214999409873165,6.846571116361404,7.128088861341916,5.105248052881401,8.59965199874,-4.402072836454277,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_22.tif
0.38333333333333336,0.000422,25.718012958963282,12.058747300215982,1001.8666090712743,7.148230323657861,6.665200129847767,7.117411146750879,5.991494643781909,8.010212379971891,-4.401655902695908,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_23.tif
0.4,0.000422,25.75862970711297,12.110006973500697,1002.7513947001395,7.2604299754568515,6.7923120376422625,7.120851103630447,5.402466596787032,8.627514955930609,-4.4046112647864115,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_24.tif
0.4166666666666667,0.000423,25.668037490436113,12.149770466717674,1006.7603289977046,7.197093120828251,6.7364987342351315,7.108866615650056,5.2640725047274275,8.196654250468466,-4.4093017154245215,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_25.tif
0.43333333333333335,0.000423,25.56061257850813,12.098941753419943,1002.8398864320743,7.170232172707474,6.554851249220014,7.093174972217034,5.15122356780974,7.817125338296566,-4.397442045060523,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_26.tif
0.45,0.000422,25.535726018396847,12.044021024967149,1000.1529237844941,7.151796698029173,6.847558205690308,7.091366114127544,5.301684671288924,9.070541966678855,-4.387812455959554,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_27.tif
0.4666666666666667,0.000421,25.514127963624553,12.054563169860344,999.9307405001624,7.1158851196447,6.6617662765887955,7.089811129377922,5.4289532183402995,9.457772720202279,-4.387255594054663,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_28.tif
0.48333333333333334,0.000422,25.54042904290429,12.080610561056105,1001.6766501650166,7.23279273839733,6.505802385011839,7.090652650664977,5.299093085346211,7.980413366240103,-4.397577369471222,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_29.tif
0.48333333333333334,0.000422,25.493898361751924,12.07204948177867,1000.4252758274824,7.233837501890765,6.9346748330906784,7.107442146468309,5.500148688494765,8.380544110699015,-4.391008460942051,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_30.tif
0.5,0.000422,25.587397034596375,12.026276771004943,998.6490115321252,7.208893310272886,6.599662194714133,7.090681905851837,5.119929257882265,8.749251453622028,-4.3910058025473555,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_31.tif
0.5166666666666667,0.000422,25.603930960442646,12.071929969444215,998.2195061524486,7.085829849815817,6.737616462571988,7.1064232210446105,5.492263347667477,7.872328973057414,-4.393758379751787,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_32.tif
0.5333333333333333,0.000422,25.50979604946202,11.999598522563032,998.5155773245543,7.174628304704854,6.580645242629338,7.102869612133747,5.1936810645857285,8.380637542028316,-4.389421166392088,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_33.tif
0.55,0.000424,25.484190998548154,12.052105178254557,997.7913373124698,7.075140488328819,7.005187509800942,7.101243008545337,5.020304641325821,8.93245423704724,-4.39473805036763,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_34.tif
