,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name,COM_x_WZ,COM_x_ZB,COM_x_TW,COM_y_WZ,COM_y_ZB,COM_y_TW
349.0,0.000401,144.48968318440294,178.2199837530463,55.62225832656377,30.22580702494424,16.85292372562789,27.501917566822105,6744.899431437479,20.792050101884012,7.419004029949325,25,37,10,58,38,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_26.tif,54.11500797225789,43.36516494916787,54.7414058506521,30.333423100882232,38.4955613048615,13.535175475748858
350.0,0.000401,144.55702746365105,178.38852988691437,55.743861066235866,20.06718420212149,17.217227509619576,27.683695282986307,90.97507025643051,20.56652570267463,5907.811397968053,1,37,5,70,40,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_27.tif,54.15146266014609,43.382602277615526,54.757851295954694,30.32413322187553,38.50104236002626,13.523683939783426
351.0,0.000402,144.1553977487346,177.8514013749339,55.39351816876936,20.418867585393844,17.849798006949822,27.819178827318417,13.023177013673859,20.382840648432524,5259.958147454222,0,36,9,77,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_28.tif,54.137702057190474,43.38092505412623,54.76212556802374,30.340052458226012,38.50636070815842,13.52209360049315
352.0,0.000401,144.03027721852254,177.84536162304477,55.42875948582933,21.608699056779916,17.696732248262347,27.913654135999984,121.37228290626238,20.818459150651915,9387.753257572094,4,37,9,79,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_29.tif,54.135645188432086,43.36085897343792,54.79811317855232,30.31466010611788,38.52649960051291,13.531182287963096
353.0,0.000403,144.29423707637045,178.14376073715445,55.467515227237236,29.407503210494227,17.392416661008507,26.687640956210615,5981.1775781469,20.61391331561538,6008.748918995269,23,36,9,66,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_30.tif,54.14751395148477,43.370524115759856,54.75149827471397,30.35457173595868,38.503982143585105,13.522814461712166
354.0,0.000403,144.23303339942046,177.9566875095318,55.51159066646332,38.19276185387002,16.990984826083217,27.044597344793345,41.75222875382749,20.691222545881786,1806.9608543149495,38,38,10,57,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_31.tif,54.13486163157583,43.36871155286572,54.744950060372624,30.334904243890474,38.50805665108642,13.518457263190284
355.0,0.000403,143.99685968137254,177.84719669117646,55.45611213235294,34.57743492224056,17.14679975887402,28.543927453721874,-71.67290051050941,20.673213063895002,181.53163446412114,28,37,9,61,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_32.tif,54.18333818256479,43.34273309810234,54.846443887381135,30.353995669201918,38.50492490653423,13.53837314494465
356.0,0.000403,144.18288829198926,178.18201927634698,55.49565492178859,38.79664057560793,17.480632445978053,26.73724572205914,86.4665160202817,21.174138556528987,62.54677780635459,45,36,9,65,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_33.tif,54.1461929890793,43.34792110410973,54.781493428844755,30.327518934921294,38.509215545785544,13.519803150054665
357.0,0.000401,144.31240598527432,178.1186762726625,55.55514211068007,36.4257484778784,17.342999098338147,27.006287560365667,29.09412724637901,20.898835571406032,96.97372506114864,32,37,10,53,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_34.tif,54.11631217735255,43.39290573411082,54.77167291087433,30.34163187605949,38.51029972659999,13.541443345394226
358.0,0.000403,144.2702269264694,178.29628738673722,55.49947879079464,30.987261190791408,17.21833420649817,27.669797404910994,70.76079724088419,20.435950805958587,105.34699457128445,21,37,9,60,38,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_35.tif,54.143950013172564,43.358620267835015,54.77738414815628,30.370019019627676,38.52729732367363,13.549240464996663
359.0,0.000402,144.29137000234724,177.89703466082466,55.5711603160942,30.690662562182865,17.624407895046534,27.287726767191828,267.7042176807414,20.78820973056186,1714.4383169456019,24,37,9,67,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_36.tif,54.10599407435684,43.36866748588865,54.76387213043203,30.325037360616165,38.510230452363594,13.513148094698384
359.0,0.000401,144.3161603507673,177.89954588161604,55.56780457250235,35.19097819769688,17.20645557497141,,46.70199684048871,21.77768957903188,,28,36,5,55,40,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_37.tif,54.11665597876743,43.39318869097892,54.75256864756408,30.309568219721505,38.52752545735659,13.52609086502694
360.0,0.000401,144.51238550378335,177.93540422142573,55.691756272401435,,17.363637832885214,27.288494769468855,,20.90539120197831,84.7983502861747,1,36,9,75,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_38.tif,54.1131472210755,43.387487527859484,54.76534088471275,30.33451373575043,38.51417493181449,13.53873514394817
361.0,0.000401,144.92522966995577,178.51684246342293,55.779686968356586,35.887493208119494,17.44009372234671,28.291432350658535,51.580461137390465,21.029839497380497,3897.2123297819126,38,36,7,57,42,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_39.tif,54.15506464891084,43.37027432951944,54.75253985537083,30.341914645477218,38.51273965474849,13.532489714005118
362.0,0.000402,144.23320315613293,178.02797481469673,55.520363433490076,35.58303367152101,17.494153290693472,26.54469996879554,1.3271490979439635,20.485266082044863,-8258.764940927935,30,36,8,58,40,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_40.tif,54.17502517000111,43.38539170360435,54.811446511267356,30.33471073010133,38.49471486316306,13.55129670089892
363.0,0.000403,144.53932584269663,177.94358116184557,55.51294923898318,33.10411073983359,17.747304200944598,,68.96291569353798,20.532962470223552,,27,36,8,59,41,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_41.tif,54.192973518930174,43.37169493787321,54.77081299739317,30.332242268268587,38.49803942115903,13.536258742061806
364.0,0.000403,144.21236641221375,177.77557251908397,55.56587786259542,31.335565594557306,16.965872115306215,,166.143854013383,20.751460873166895,,24,37,9,60,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_42.tif,54.13974090373505,43.39101062322338,54.75598320128916,30.33523715555198,38.53823286930086,13.52760426039925
365.0,0.000402,144.22740768937953,177.69554625047581,55.56200989722117,29.854115796720617,17.69051120744339,27.58169456949862,3.5118499933534078,20.93422806931204,6596.769182632253,21,36,7,69,38,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_43.tif,54.144813708841774,43.377205358454965,54.72397222827405,30.337368502454833,38.50256487595923,13.533926092788915
366.0,0.000403,144.7217585323527,178.24452524584746,55.71696554003801,23.090955422976048,16.815143178684064,28.743317407296757,78.94387132229244,20.72666442457997,145.72485329660375,5,37,10,82,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_44.tif,54.14926870548251,43.39431193400642,54.749900256736936,30.356883944182478,38.50400683932818,13.522567191363198
367.0,0.000402,144.40397614314116,177.98186878727634,55.53455268389662,36.12064459746435,17.412594606138825,26.22964306378209,71.02708802559863,20.700986716995093,105.74098390489658,28,36,9,82,38,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_45.tif,54.1281362204551,43.37196274376464,54.81804890691877,30.303654977201138,38.5032504930473,13.531497951591401
368.0,0.000403,144.42008733624453,178.02556570067486,55.54235807860262,27.86494744667073,17.565715997269937,26.696947664429242,-0.9434969070376641,20.50337844182469,7421.72687286319,18,37,9,67,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_46.tif,54.15964080790733,43.37569127547908,54.81332016307486,30.343919171883442,38.49411211685499,13.543780626568852
369.0,0.000401,144.23621739809465,177.96689052006872,55.55138216461034,27.023084173197685,17.174127638460085,28.306881381294897,181.7862211554554,21.237712951324774,219.863695683265,14,36,9,73,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_47.tif,54.140582289212915,43.368923109865364,54.80809147149739,30.333709961999666,38.50226410723093,13.530470585093148
369.0,0.000402,144.2267085624509,178.12930086410054,55.464807541241164,30.392433043329813,17.509551226694562,,366.205938735976,20.966075243944506,,23,36,10,67,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_48.tif,54.13008236356526,43.36235935483814,54.78113266871274,30.343511949307356,38.49998588807657,13.51404470114026
370.0,0.000402,144.97925646551724,178.839529454023,55.9055316091954,30.142673964727962,16.598714284752933,28.04964983789421,26.599995904713154,20.685100874684426,159.70657094835914,21,37,9,60,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_49.tif,54.149004421832544,43.39485638623449,54.77317191485534,30.359212729228876,38.50549795963661,13.524039295558369
371.0,0.000402,144.52008561080012,178.5786137635825,55.60479091208429,30.081581163335358,16.856668121618696,27.874668220167514,122.32026570028317,20.729421860800755,70.05867911862822,20,37,9,85,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_50.tif,54.14863951971657,43.36467034484157,54.79675848683986,30.332939172832546,38.50568897096073,13.5184007982389
